[2026-07-24 10:25:34] extinction #18 | ticks: 561 | max Gen: 1 | avg Ein: 7990.6 | avg Eout: 11378.1
[2026-07-24 10:25:47] extinction #19 | ticks: 3390 | max Gen: 1 | avg Ein: 7777.1 | avg Eout: 20096.8
[2026-07-24 10:26:22] extinction #20 | ticks: 659 | max Gen: 1 | avg Ein: 9267.2 | avg Eout: 18449.6
[2026-07-24 10:26:27] extinction #21 | ticks: 294 | max Gen: 1 | avg Ein: 14889.0 | avg Eout: 31715.5
[2026-07-24 10:26:29] extinction #22 | ticks: 449 | max Gen: 1 | avg Ein: 6305.5 | avg Eout: 17388.7
[2026-07-24 10:26:31] extinction #23 | ticks: 722 | max Gen: 1 | avg Ein: 4037.2 | avg Eout: 7820.3
[2026-07-24 10:26:34] extinction #24 | ticks: 3476 | max Gen: 7 | avg Ein: 252.1 | avg Eout: 125.7
[EXTINCT ][2026-07-26 00:28:30] extinction #1 | ticks: 29755 | max Gen: 26 | avg Ein: 1671.5 | avg Eout: 45.3
[EXTINCT ][2026-07-26 00:28:35] extinction #2 | ticks: 19796 | max Gen: 13 | avg Ein: 166.3 | avg Eout: 89.2
[EXTINCT ][2026-07-26 00:43:30] extinction #1 | ticks: 89 | max Gen: 1 | avg Ein: 765.9 | avg Eout: 975.5
[EXTINCT ][2026-07-26 01:53:42] extinction #1 | ticks: 54910 | max Gen: 22 | avg Ein: 220.6 | avg Eout: 148.0
[EXTINCT ][2026-07-26 01:53:45] extinction #2 | ticks: 9065 | max Gen: 1 | avg Ein: 438.7 | avg Eout: 149.3
[EXTINCT ][2026-07-26 01:53:51] extinction #3 | ticks: 16485 | max Gen: 2 | avg Ein: 205.4 | avg Eout: 132.7
[EXTINCT ][2026-07-26 01:53:55] extinction #4 | ticks: 18017 | max Gen: 1 | avg Ein: 1539.3 | avg Eout: 121.9
[EXTINCT ][2026-07-26 01:55:04] extinction #5 | ticks: 105920 | max Gen: 47 | avg Ein: 107.4 | avg Eout: 49.6
[EXTINCT ][2026-07-26 01:55:07] extinction #6 | ticks: 7380 | max Gen: 0 | avg Ein: 155.1 | avg Eout: 29.2
